,name,c-x,c-y,radius
0,20130320T013023.668642_21.csv,43.89,110.0,18.14
1,20130320T013023.668642_21.csv,59.44,125.83,17.31
2,20130320T013023.668642_21.csv,249.17,161.39,20.37
3,20130320T013023.668642_21.csv,206.94,156.94,18.7
4,20130320T013023.668642_21.csv,219.72,126.39,20.09
5,20130320T013023.668642_21.csv,250.56,117.78,21.75
6,20130320T013023.668642_21.csv,200.56,113.33,18.42
7,20130320T013023.668642_21.csv,256.67,93.06,18.7
8,20130320T013023.668642_21.csv,228.89,69.72,18.42
9,20130320T013023.668642_21.csv,245.28,60.0,18.42
10,20130320T013023.668642_21.csv,202.78,28.33,18.42
11,20130320T013023.668642_21.csv,163.89,17.5,16.75
