,name,c-x,c-y,radius
0,20130320T004752.568676.Cam6_11.csv,15.38,118.85,16.42
1,20130320T004752.568676.Cam6_11.csv,36.92,82.69,16.8
2,20130320T004752.568676.Cam6_11.csv,51.15,46.92,18.73
3,20130320T004752.568676.Cam6_11.csv,85.77,40.77,19.88
4,20130320T004752.568676.Cam6_11.csv,113.08,34.23,19.88
5,20130320T004752.568676.Cam6_11.csv,125.38,25.77,19.88
6,20130320T004752.568676.Cam6_11.csv,150.0,53.46,17.19
7,20130320T004752.568676.Cam6_11.csv,151.15,35.38,17.19
8,20130320T004752.568676.Cam6_11.csv,173.08,13.85,18.73
9,20130320T004752.568676.Cam6_11.csv,230.38,31.92,17.96
10,20130320T004752.568676.Cam6_11.csv,253.85,14.23,17.96
11,20130320T004752.568676.Cam6_11.csv,280.0,38.08,17.96
12,20130320T004752.568676.Cam6_11.csv,293.46,3.08,17.96
