,name,c-x,c-y,radius
0,20130320T004936.380337.Cam6_44.csv,37.74,41.61,22.9
1,20130320T004936.380337.Cam6_44.csv,253.23,84.52,21.29
2,20130320T004936.380337.Cam6_44.csv,283.87,83.87,21.29
3,20130320T004936.380337.Cam6_44.csv,190.32,15.48,18.06
4,20130320T004936.380337.Cam6_44.csv,89.03,110.0,18.06
5,20130320T004936.380337.Cam6_44.csv,64.52,185.81,19.03
6,20130320T004936.380337.Cam6_44.csv,301.61,171.61,17.09
7,20130320T004936.380337.Cam6_44.csv,197.42,68.06,17.09
8,20130320T004936.380337.Cam6_44.csv,142.9,78.06,15.8
9,20130320T004936.380337.Cam6_44.csv,59.35,62.58,15.8
