,name,c-x,c-y,radius
0,20130320T013035.287882_12.csv,87.22,198.06,18.98
1,20130320T013035.287882_12.csv,100.83,167.78,18.14
2,20130320T013035.287882_12.csv,71.94,170.83,18.14
3,20130320T013035.287882_12.csv,87.5,143.06,18.14
4,20130320T013035.287882_12.csv,61.94,139.44,18.14
5,20130320T013035.287882_12.csv,64.44,108.89,17.59
6,20130320T013035.287882_12.csv,94.17,81.11,18.42
7,20130320T013035.287882_12.csv,53.06,79.17,18.98
8,20130320T013035.287882_12.csv,77.22,53.89,18.98
9,20130320T013035.287882_12.csv,107.5,42.22,18.98
10,20130320T013035.287882_12.csv,158.33,12.22,18.98
11,20130320T013035.287882_12.csv,206.67,68.61,18.14
12,20130320T013035.287882_12.csv,208.33,103.89,17.31
13,20130320T013035.287882_12.csv,237.22,79.72,18.42
