,name,c-x,c-y,radius
0,20130320T005749.914258.Cam6_42_aug_2.csv,301.33,99.44,19.53
1,20130320T005749.914258.Cam6_42_aug_2.csv,265.5,132.22,18.98
2,20130320T005749.914258.Cam6_42_aug_2.csv,226.61,91.94,18.98
3,20130320T005749.914258.Cam6_42_aug_2.csv,208.56,55.0,19.53
4,20130320T005749.914258.Cam6_42_aug_2.csv,140.5,123.33,19.53
5,20130320T005749.914258.Cam6_42_aug_2.csv,86.61000000000001,118.61,22.31
6,20130320T005749.914258.Cam6_42_aug_2.csv,69.11000000000001,94.44,20.64
7,20130320T005749.914258.Cam6_42_aug_2.csv,53.28,121.39,20.64
8,20130320T005749.914258.Cam6_42_aug_2.csv,24.389999999999986,168.06,19.53
9,20130320T005749.914258.Cam6_42_aug_2.csv,54.389999999999986,164.72,18.14
