,name,c-x,c-y,radius
0,20130320T013117.574497_32_aug_0.csv,213.0,145.0,19.25
1,20130320T013117.574497_32_aug_0.csv,23.560000000000002,111.11,19.53
2,20130320T013117.574497_32_aug_0.csv,15.779999999999973,65.83,18.14
3,20130320T013117.574497_32_aug_0.csv,96.61000000000001,75.0,17.87
4,20130320T013117.574497_32_aug_0.csv,77.44,42.5,19.81
5,20130320T013117.574497_32_aug_0.csv,118.0,43.06,18.98
6,20130320T013117.574497_32_aug_0.csv,150.5,59.72,18.98
7,20130320T013117.574497_32_aug_0.csv,137.72,14.17,19.81
8,20130320T013117.574497_32_aug_0.csv,178.28,22.5,19.53
9,20130320T013117.574497_32_aug_0.csv,208.28,26.39,17.59
10,20130320T013117.574497_32_aug_0.csv,241.61,39.72,19.81
11,20130320T013117.574497_32_aug_0.csv,205.78,75.83,14.53
12,20130320T013117.574497_32_aug_0.csv,212.44,61.94,19.25
