,name,c-x,c-y,radius
0,20130320T004856.760512.Cam6_23_aug_1.csv,5.48,0.65,17.09
1,20130320T004856.760512.Cam6_23_aug_1.csv,22.26,5.81,17.09
2,20130320T004856.760512.Cam6_23_aug_1.csv,108.06,7.42,19.67
3,20130320T004856.760512.Cam6_23_aug_1.csv,120.65,20.97,19.67
4,20130320T004856.760512.Cam6_23_aug_1.csv,126.77,144.19,19.67
5,20130320T004856.760512.Cam6_23_aug_1.csv,95.16,156.77,15.8
6,20130320T004856.760512.Cam6_23_aug_1.csv,115.16,172.26,15.8
7,20130320T004856.760512.Cam6_23_aug_1.csv,136.45,174.19,14.84
8,20130320T004856.760512.Cam6_23_aug_1.csv,209.35,141.94,16.13
9,20130320T004856.760512.Cam6_23_aug_1.csv,246.45,75.81,16.13
10,20130320T004856.760512.Cam6_23_aug_1.csv,220.0,11.94,16.13
