,name,c-x,c-y,radius
0,20130320T004721.329906.Cam6_52_aug_5.csv,59.91999999999999,128.08,16.03
1,20130320T004721.329906.Cam6_52_aug_5.csv,184.15,148.46,19.11
2,20130320T004721.329906.Cam6_52_aug_5.csv,218.76999999999998,157.31,17.19
3,20130320T004721.329906.Cam6_52_aug_5.csv,246.46,142.69,17.19
4,20130320T004721.329906.Cam6_52_aug_5.csv,278.0,137.69,17.19
5,20130320T004721.329906.Cam6_52_aug_5.csv,266.08,62.31,17.19
6,20130320T004721.329906.Cam6_52_aug_5.csv,250.69,123.46,17.19
7,20130320T004721.329906.Cam6_52_aug_5.csv,230.69,180.77,14.5
8,20130320T004721.329906.Cam6_52_aug_5.csv,254.92000000000002,170.38,14.5
9,20130320T004721.329906.Cam6_52_aug_5.csv,302.23,158.85,14.5
