,name,c-x,c-y,radius
0,20130320T005444.196159.Cam6_24_aug_4.csv,241.61,189.44,19.25
1,20130320T005444.196159.Cam6_24_aug_4.csv,203.0,198.89,17.31
2,20130320T005444.196159.Cam6_24_aug_4.csv,166.61,124.44,18.14
3,20130320T005444.196159.Cam6_24_aug_4.csv,147.17,89.17,21.48
4,20130320T005444.196159.Cam6_24_aug_4.csv,163.28,80.83,20.09
5,20130320T005444.196159.Cam6_24_aug_4.csv,120.22,83.61,20.92
6,20130320T005444.196159.Cam6_24_aug_4.csv,143.0,45.56,20.92
7,20130320T005444.196159.Cam6_24_aug_4.csv,169.39,39.44,20.09
8,20130320T005444.196159.Cam6_24_aug_4.csv,85.22,41.67,17.31
9,20130320T005444.196159.Cam6_24_aug_4.csv,26.610000000000014,81.11,20.64
