,name,c-x,c-y,radius
0,20130320T013054.907398_24_aug_7.csv,124.17,135.56,17.87
1,20130320T013054.907398_24_aug_7.csv,148.61,134.44,17.87
2,20130320T013054.907398_24_aug_7.csv,210.56,148.06,16.48
3,20130320T013054.907398_24_aug_7.csv,200.28,114.44,16.48
4,20130320T013054.907398_24_aug_7.csv,220.56,92.78,17.03
5,20130320T013054.907398_24_aug_7.csv,186.39,84.17,17.03
6,20130320T013054.907398_24_aug_7.csv,203.33,53.89,17.59
7,20130320T013054.907398_24_aug_7.csv,191.67,25.83,17.59
8,20130320T013054.907398_24_aug_7.csv,303.06,154.44,16.48
9,20130320T013054.907398_24_aug_7.csv,301.11,184.17,14.53
