,name,c-x,c-y,radius
0,20130320T005244.574699.Cam6_43_aug_7.csv,92.9,5.16,19.67
1,20130320T005244.574699.Cam6_43_aug_7.csv,49.68,6.45,19.67
2,20130320T005244.574699.Cam6_43_aug_7.csv,84.84,51.94,19.67
3,20130320T005244.574699.Cam6_43_aug_7.csv,47.1,48.39,19.67
4,20130320T005244.574699.Cam6_43_aug_7.csv,18.71,157.42,19.67
5,20130320T005244.574699.Cam6_43_aug_7.csv,59.68,146.77,18.71
6,20130320T005244.574699.Cam6_43_aug_7.csv,109.68,141.29,20.32
7,20130320T005244.574699.Cam6_43_aug_7.csv,125.16,153.87,19.03
8,20130320T005244.574699.Cam6_43_aug_7.csv,114.19,199.68,19.03
9,20130320T005244.574699.Cam6_43_aug_7.csv,137.42,193.55,19.03
10,20130320T005244.574699.Cam6_43_aug_7.csv,87.42,200.65,19.03
11,20130320T005244.574699.Cam6_43_aug_7.csv,252.26,151.94,19.03
12,20130320T005244.574699.Cam6_43_aug_7.csv,276.77,161.29,19.03
