,name,c-x,c-y,radius
0,20130320T004923.046686.Cam6_12_aug_3.csv,199.94,79.68,19.03
1,20130320T004923.046686.Cam6_12_aug_3.csv,238.97,69.68,20.32
2,20130320T004923.046686.Cam6_12_aug_3.csv,100.25999999999999,188.39,19.03
3,20130320T004923.046686.Cam6_12_aug_3.csv,64.44999999999999,165.81,19.67
4,20130320T004923.046686.Cam6_12_aug_3.csv,81.55000000000001,148.39,19.67
5,20130320T004923.046686.Cam6_12_aug_3.csv,37.02999999999997,165.16,19.67
6,20130320T004923.046686.Cam6_12_aug_3.csv,38.97000000000003,201.29,19.67
7,20130320T004923.046686.Cam6_12_aug_3.csv,70.58000000000001,104.84,19.67
8,20130320T004923.046686.Cam6_12_aug_3.csv,43.48000000000002,86.45,19.67
9,20130320T004923.046686.Cam6_12_aug_3.csv,62.52000000000001,0.97,17.42
10,20130320T004923.046686.Cam6_12_aug_3.csv,59.28999999999999,9.35,16.13
