,name,c-x,c-y,radius
0,20130320T012841.190290_44_aug_3.csv,295.78,146.39,15.64
1,20130320T012841.190290_44_aug_3.csv,252.72,18.06,16.48
2,20130320T012841.190290_44_aug_3.csv,248.56,30.28,13.98
3,20130320T012841.190290_44_aug_3.csv,158.0,46.94,16.2
4,20130320T012841.190290_44_aug_3.csv,156.06,83.06,16.2
5,20130320T012841.190290_44_aug_3.csv,165.5,97.5,15.09
6,20130320T012841.190290_44_aug_3.csv,136.61,52.5,15.09
7,20130320T012841.190290_44_aug_3.csv,108.28,50.56,15.09
8,20130320T012841.190290_44_aug_3.csv,161.33,117.5,13.98
9,20130320T012841.190290_44_aug_3.csv,246.61,190.56,12.87
10,20130320T012841.190290_44_aug_3.csv,262.17,145.28,12.87
11,20130320T012841.190290_44_aug_3.csv,251.89,161.11,12.87
