,name,c-x,c-y,radius
0,20130320T013127.288945_42_aug_0.csv,267.72,99.17,20.37
1,20130320T013127.288945_42_aug_0.csv,184.11,138.33,18.42
2,20130320T013127.288945_42_aug_0.csv,154.11,141.39,17.59
3,20130320T013127.288945_42_aug_0.csv,164.67,114.44,19.53
4,20130320T013127.288945_42_aug_0.csv,131.33,101.94,17.87
5,20130320T013127.288945_42_aug_0.csv,151.61,81.39,17.31
6,20130320T013127.288945_42_aug_0.csv,124.38999999999999,140.0,16.2
7,20130320T013127.288945_42_aug_0.csv,72.72,119.44,17.31
8,20130320T013127.288945_42_aug_0.csv,38.27999999999997,113.89,17.03
9,20130320T013127.288945_42_aug_0.csv,59.66999999999999,135.83,17.03
10,20130320T013127.288945_42_aug_0.csv,33.56,152.78,17.03
11,20130320T013127.288945_42_aug_0.csv,1.8899999999999864,155.83,17.03
12,20130320T013127.288945_42_aug_0.csv,281.06,150.56,16.48
