,name,c-x,c-y,radius
0,20130320T004741.330326.Cam6_31_aug_3.csv,148.08,112.31,18.34
1,20130320T004741.330326.Cam6_31_aug_3.csv,115.38,111.92,17.57
2,20130320T004741.330326.Cam6_31_aug_3.csv,139.23,132.69,17.57
3,20130320T004741.330326.Cam6_31_aug_3.csv,171.15,135.77,17.57
4,20130320T004741.330326.Cam6_31_aug_3.csv,42.31,100.77,16.8
5,20130320T004741.330326.Cam6_31_aug_3.csv,20.0,91.92,17.57
6,20130320T004741.330326.Cam6_31_aug_3.csv,20.0,110.77,17.57
7,20130320T004741.330326.Cam6_31_aug_3.csv,113.85,77.69,17.57
8,20130320T004741.330326.Cam6_31_aug_3.csv,145.77,91.92,17.19
9,20130320T004741.330326.Cam6_31_aug_3.csv,257.31,65.38,17.57
10,20130320T004741.330326.Cam6_31_aug_3.csv,300.38,46.92,18.73
11,20130320T004741.330326.Cam6_31_aug_3.csv,282.31,14.23,17.57
12,20130320T004741.330326.Cam6_31_aug_3.csv,290.0,118.46,18.34
13,20130320T004741.330326.Cam6_31_aug_3.csv,259.62,102.69,17.19
14,20130320T004741.330326.Cam6_31_aug_3.csv,276.15,146.54,17.57
15,20130320T004741.330326.Cam6_31_aug_3.csv,257.69,150.77,17.19
16,20130320T004741.330326.Cam6_31_aug_3.csv,263.08,181.15,18.34
17,20130320T004741.330326.Cam6_31_aug_3.csv,294.23,178.46,17.57
