,name,c-x,c-y,radius
0,20130320T013053.573998_22_aug_3.csv,60.56,22.22,18.98
1,20130320T013053.573998_22_aug_3.csv,44.17,26.94,18.98
2,20130320T013053.573998_22_aug_3.csv,54.44,55.83,17.87
3,20130320T013053.573998_22_aug_3.csv,66.94,85.83,17.87
4,20130320T013053.573998_22_aug_3.csv,158.89,27.22,17.03
5,20130320T013053.573998_22_aug_3.csv,181.39,58.06,17.03
6,20130320T013053.573998_22_aug_3.csv,212.78,93.06,15.09
7,20130320T013053.573998_22_aug_3.csv,269.17,73.06,17.31
8,20130320T013053.573998_22_aug_3.csv,283.06,104.44,17.31
9,20130320T013053.573998_22_aug_3.csv,284.72,125.83,17.87
