,name,c-x,c-y,radius
0,20130320T004717.901207.Cam6_22_aug_0.csv,301.08,107.31,19.88
1,20130320T004717.901207.Cam6_22_aug_0.csv,271.46,190.77,20.65
2,20130320T004717.901207.Cam6_22_aug_0.csv,200.69,150.77,20.65
3,20130320T004717.901207.Cam6_22_aug_0.csv,173.0,163.46,20.65
4,20130320T004717.901207.Cam6_22_aug_0.csv,167.23,95.38,21.8
5,20130320T004717.901207.Cam6_22_aug_0.csv,209.15,95.77,18.73
6,20130320T004717.901207.Cam6_22_aug_0.csv,109.91999999999999,73.08,21.42
7,20130320T004717.901207.Cam6_22_aug_0.csv,119.15,110.0,21.42
8,20130320T004717.901207.Cam6_22_aug_0.csv,157.23,126.92,18.34
9,20130320T004717.901207.Cam6_22_aug_0.csv,39.920000000000016,66.92,20.27
10,20130320T004717.901207.Cam6_22_aug_0.csv,64.91999999999999,76.54,20.27
11,20130320T004717.901207.Cam6_22_aug_0.csv,136.46,17.69,19.11
12,20130320T004717.901207.Cam6_22_aug_0.csv,161.46,24.23,17.96
