,name,c-x,c-y,radius
0,20130320T005307.432292.Cam6_61_aug_0.csv,130.65,168.06,13.87
1,20130320T005307.432292.Cam6_61_aug_0.csv,158.06,150.32,13.22
2,20130320T005307.432292.Cam6_61_aug_0.csv,152.9,133.55,13.22
3,20130320T005307.432292.Cam6_61_aug_0.csv,62.9,95.81,13.22
4,20130320T005307.432292.Cam6_61_aug_0.csv,62.9,75.81,13.87
5,20130320T005307.432292.Cam6_61_aug_0.csv,123.87,75.81,13.87
6,20130320T005307.432292.Cam6_61_aug_0.csv,137.1,13.23,13.55
7,20130320T005307.432292.Cam6_61_aug_0.csv,160.65,1.94,13.55
8,20130320T005307.432292.Cam6_61_aug_0.csv,212.26,115.16,13.55
9,20130320T005307.432292.Cam6_61_aug_0.csv,208.71,147.1,13.22
10,20130320T005307.432292.Cam6_61_aug_0.csv,232.9,100.65,12.9
